z[cm],T[K]
0,463.4
0.01,503.492
0.02,555.552
0.03,616.684
0.04,684.343
0.05,756.308
0.06,830.664
0.07,905.768
0.08,980.242
0.09,1052.938
0.1,1122.925
0.11,1189.466
0.12,1252
0.13,1310.125
0.14,1363.579
0.15,1412.222
0.16,1456.023
0.17,1495.043
0.18,1529.422
0.19,1559.362
0.2,1585.12
0.21,1606.99
0.22,1625.296
0.23,1640.379
0.24,1652.59
0.25,1662.277
0.26,1669.781
0.27,1675.426
0.28,1679.515
0.29,1682.321
0.3,1684.084
0.31,1685.008
0.32,1685.253
0.33,1684.938
0.34,1684.136
0.35,1682.873
0.36,1681.127
0.37,1678.832
0.38,1675.876
0.39,1672.103
0.4,1667.318
0.41,1661.288
0.42,1653.748
0.43,1644.408
0.44,1632.954
0.45,1619.059
0.46,1602.389
0.47,1582.611
0.48,1559.403
0.49,1532.462
0.5,1501.519
0.51,1466.343
0.52,1426.762
0.53,1382.667
0.54,1334.034
0.55,1280.934
0.56,1223.547
0.57,1162.184
0.58,1097.296
0.59,1029.498
0.6,959.587
0.61,888.555
0.62,817.618
0.63,748.229
0.64,682.105
0.67,300
