z[m],8.0lmin,11.0lmin,12.0lmin
0,298,298,298
0.028,300.6864048,304.5394763,303.0197382
0.056,303.3728097,310.0562252,305.9940214
0.084,306.0592145,313.0161554,303.8546673
0.112,313.2499794,326.8029949,309.8560518
0.14,320.9525948,343.5074789,320.1571735
0.168,332.5927353,361.873969,333.7823074
0.196,349.9454604,387.4113888,352.092684
0.224,374.5948217,427.542081,377.6996967
0.252,469.4782672,489.9374138,431.656993
0.28,606.6043252,632.0533994,573.1513852
0.308,839.3869967,817.7915255,773.5462315
0.336,1171.698341,1068.045909,1038.722954
0.364,1375.272731,1318.302098,1297.526802
0.392,1465.935628,1459.013299,1441.360515
0.42,1517.895663,1509.210373,1497.59455
0.448,1548.696258,1552.414893,1545.540734
0.476,1567.842534,1570.653832,1566.229701
0.504,1586.988811,1588.686262,1586.505651
0.532,1606.135087,1601.866357,1597.076929
0.56,1624.837732,1614.159188,1607.204576
0.588,1638.805136,1625.165567,1616.688997
0.616,1652.190217,1638.741787,1631.313099
0.644,1670.602146,1653.061951,1647.42509
0.672,1687.337279,1668.291272,1663.991659
0.7,1695.970748,1682.176081,1677.562351
0.728,1704.604216,1694.99249,1688.996245
0.756,1712.175132,1705.683793,1699.367586
0.784,1716.075626,1708.127675,1704.25535
0.812,1719.97612,1709.257103,1706.514206
0.84,1720.533333,1710.386531,1708.773063
0.868,1720.533333,1711.515959,1711.031919
0.896,1720.533333,1711.702129,1711.404258
0.924,1720.533333,1711.180854,1710.361709
0.952,1717.369359,1710.453211,1709.215975
0.98,1708.024213,1704.876539,1705.645728
1.008,1701.152529,1699.682836,1702.841418
1.036,1696.135942,1694.627439,1700.313719
1.064,1667.836436,1689.939539,1697.969769
1.092,1629.14923,1685.306946,1695.387161
1.12,1538.807395,1655.416017,1678.577516
1.148,1415.458522,1614.481448,1647.840203
1.176,1209.764353,1507.441206,1560.778416
1.204,1043.88905,1365.107177,1418.723202
1.232,927.7461813,1159.857595,1214.785979
1.26,824.9361498,983.498687,1037.783198
1.288,742.9724825,851.6191141,891.6350779
1.316,696.1994804,780.6984835,824.3593849
1.344,658.7919573,725.8696354,772.049074
1.372,643.9492944,701.3081158,736.7111861
1.4,630.4,679.3333333,702.6666667
