t [s],P [atm],sigmaP [atm],T FFCM-2 [K],sigmaT [K],X_C2H2 [-],sigmaX_C2H2 [-],X_C2H4 [-],sigmaX_C2H4 [-],X_CH4 [-],sigmaX_CH4 [-],fv_rel_633nm,sigma_fv_rel_633 [-],fv_rel_1064nm [-],sigma_fv_rel_1064 [-]
6.09999999999999e-06,4.9,0.157,2170,19.81,NaN,NaN,NaN,NaN,0.04538,0.003571,NaN,NaN,NaN,NaN
6.19999999999983e-06,4.9,0.157,2170,19.81,0.00021,0.001138,NaN,NaN,0.04532,0.003565,NaN,NaN,NaN,NaN
6.29999999999988e-06,4.9,0.157,2170,19.82,0.00019,0.001138,NaN,NaN,0.04525,0.00356,NaN,NaN,NaN,NaN
6.39999999999994e-06,4.9,0.157,2170,19.82,0.00018,0.001138,NaN,NaN,0.04518,0.003555,NaN,NaN,NaN,NaN
6.5e-06,4.9,0.157,2170,19.83,0.00017,0.001138,NaN,NaN,0.04511,0.00355,NaN,NaN,NaN,NaN
6.59999999999984e-06,4.9,0.157,2170,19.83,0.00017,0.001138,NaN,NaN,0.04504,0.003544,NaN,NaN,NaN,NaN
6.69999999999989e-06,4.9,0.157,2170,19.84,0.00017,0.001138,NaN,NaN,0.04498,0.003539,NaN,NaN,NaN,NaN
6.79999999999995e-06,4.9,0.157,2170,19.84,0.00017,0.001138,NaN,NaN,0.04491,0.003534,NaN,NaN,NaN,NaN
6.90000000000001e-06,4.9,0.157,2170,19.84,0.00017,0.001138,NaN,NaN,0.04484,0.003529,NaN,NaN,NaN,NaN
6.99999999999984e-06,4.9,0.157,2170,19.85,0.00018,0.001138,NaN,NaN,0.04476,0.003524,NaN,NaN,NaN,NaN
7.0999999999999e-06,4.9,0.157,2169,19.85,0.00019,0.001138,NaN,NaN,0.04468,0.003517,NaN,NaN,NaN,NaN
7.19999999999996e-06,4.9,0.157,2169,19.84,0.0002,0.001138,NaN,NaN,0.04459,0.00351,NaN,NaN,NaN,NaN
7.30000000000001e-06,4.9,0.157,2168,19.84,0.00021,0.001138,NaN,NaN,0.0445,0.003503,NaN,NaN,NaN,NaN
7.39999999999985e-06,4.9,0.157,2167,19.84,0.00022,0.001138,NaN,NaN,0.0444,0.003495,NaN,NaN,NaN,NaN
7.49999999999991e-06,4.9,0.157,2166,19.84,0.00023,0.001138,NaN,NaN,0.04431,0.003488,NaN,NaN,NaN,NaN
7.59999999999997e-06,4.9,0.157,2166,19.84,0.00025,0.001138,NaN,NaN,0.04422,0.003481,NaN,NaN,NaN,NaN
7.70000000000002e-06,4.9,0.157,2165,19.84,0.00026,0.001138,NaN,NaN,0.04412,0.003474,NaN,NaN,NaN,NaN
7.79999999999986e-06,4.9,0.157,2164,19.83,0.00028,0.001138,NaN,NaN,0.04403,0.003467,NaN,NaN,NaN,NaN
7.89999999999992e-06,4.9,0.157,2164,19.83,0.00029,0.001138,NaN,NaN,0.04394,0.00346,NaN,NaN,NaN,NaN
7.99999999999998e-06,4.9,0.157,2163,19.83,0.00031,0.001138,NaN,NaN,0.04385,0.003453,NaN,NaN,NaN,NaN
8.10000000000003e-06,4.9,0.157,2162,19.83,0.00033,0.001138,NaN,NaN,0.04376,0.003446,NaN,NaN,NaN,NaN
8.19999999999987e-06,4.9,0.157,2162,19.83,0.00035,0.001138,NaN,NaN,0.04367,0.003439,NaN,NaN,NaN,NaN
8.29999999999993e-06,4.9,0.157,2161,19.82,0.00036,0.001138,NaN,NaN,0.04358,0.003432,NaN,NaN,NaN,NaN
8.39999999999999e-06,4.9,0.157,2160,19.82,0.00038,0.001138,NaN,NaN,0.04349,0.003425,NaN,NaN,NaN,NaN
8.49999999999983e-06,4.9,0.157,2159,19.82,0.00041,0.001138,NaN,NaN,0.04339,0.003418,NaN,NaN,NaN,NaN
8.59999999999988e-06,4.9,0.157,2158,19.82,0.00043,0.001138,NaN,NaN,0.0433,0.00341,NaN,NaN,NaN,NaN
8.69999999999994e-06,4.9,0.157,2158,19.81,0.00045,0.001138,NaN,NaN,0.0432,0.003403,NaN,NaN,NaN,NaN
8.8e-06,4.9,0.157,2157,19.81,0.00048,0.001138,0.00296,0.000392,0.0431,0.003396,3e-10,2.83e-10,1.7e-09,6.31e-10
