,t[s],P[Pa],T[K],density[kg/m3],mean_MW[kg/mol],H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2*,CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,AR,C2H3O,N2,C2O,C3H2,C3H3,PC3H4,AC3H4,C4H,C4H2,H2C4O,n-C4H3,i-C4H3,C4H4,n-C4H5,i-C4H5,C4H6,C4H612,C5H2,C5H3,C6H,C6H2,C6H3,l-C6H4,c-C6H4,n-C6H5,i-C6H5,l-C6H6,n-C6H7,i-C6H7,c-C6H7,C6H8,A1,A1-,C6H5O,C6H5OH,C5H6,C5H5,C5H5O,C5H4OH,C5H4O,n-A1C2H2,i-A1C2H2,A1C2H3,A1C2H3*,A1C2H,A1C2H*,A1C2H-,A1C2H)2,A2,A2-1,A2-2,naphthyne,A2C2HA,A2C2HB,A2C2HA*,A2C2HB*,A2C2H2,A2C2H)2,A3-1,A3-4,A3,A3C2H,A3C2H2,A4,P2,P2-,P2-H,A4-,A2R5,A2R5-
0,0.0,455962.5000000001,2203.0,0.9647266215924598,0.03875465000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.720456685099524e-20,0.0,0.0,0.0
1,2e-23,455962.5000000001,2203.0,0.9647266215924598,0.03875465000000001,1.758442957183345e-36,7.341963440210158e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.5246792599114566e-96,5.859222988482329e-75,2.0032425483258328e-41,9.131547214038132e-56,7.341963440210146e-21,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.094881397082674e-70,5.725973738855877e-54,4.694541878370832e-76,2.2446499454353646e-72,1.396669153946943e-56,7.311990402993662e-57,0.0,0.0,0.0,0.95,0.0,0.0,0.0,4.310915246888937e-89,8.551683010733873e-105,6.88973516414306e-92,5.4482076107662446e-92,1.1364504978063815e-91,3.236908813815151e-69,0.0,5.725973738855874e-54,3.0903614968618076e-70,1.3609123359325516e-87,1.0785069453392573e-72,7.881526649813426e-91,5.565712945179073e-108,6.679386395363397e-128,1.337883796040944e-130,6.672680518312964e-92,3.361941836982945e-111,2.3082412241092095e-88,1.1349912633029552e-73,1.5217346091529846e-54,5.892777348285462e-53,1.6867311391866488e-53,1.6076462117457835e-87,7.871726935568873e-73,5.066252463635883e-74,9.588284745272175e-110,3.1543810035422734e-73,9.798097257253399e-110,1.5680906350548236e-35,1.568090635054824e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.290824321561499e-106,1.3989888780209421e-125,3.192627954138213e-123,5.3785425602786354e-142,3.122563555986406e-104,3.809240011601897e-123,4.627906432046163e-123,1.9661030878705925e-173,2.806464462117454e-138,7.589323371002092e-157,9.57115308985298e-157,1.934631499296586e-178,1.4333706165152412e-192,1.9207274288688103e-192,7.863067825037266e-159,9.423686715568874e-159,5.066072840525955e-228,1.0936962166858064e-159,5.939846880539445e-141,7.463824900831567e-141,2.878309909855094e-122,2.0928922967504973e-206,2.3340649230584932e-212,1.6300806166794864e-210,1.0731106166947792e-35,7.419204613840883e-54,-2.6412012517496013e-35,1.2958876352311594e-228,2.067418586250275e-227,1.6957505920276644e-245
2,2.2e-22,455962.5000000001,2203.0,0.9647266215924598,0.03875465000000001,2.0379674264440693e-34,8.076159784231143e-20,0.0,0.0,0.0,0.0,0.0,0.0,2.995735978940237e-93,8.24403377293249e-71,2.3216806914762088e-39,1.1523627527066965e-52,8.07615978423118e-20,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.109555756270853e-68,8.727642348644618e-53,7.750546919281864e-74,2.915104384272246e-68,1.765426197739584e-53,9.24254636725214e-54,0.0,0.0,0.0,0.95,0.0,0.0,0.0,8.470216814695597e-86,1.820209753217601e-100,1.3537160276634904e-88,1.0704803289271012e-88,1.9523427846792988e-88,5.344038733679221e-67,0.0,8.727642348644551e-53,5.102093537455909e-68,2.607262347327319e-84,1.1791282187324491e-70,9.58315041853316e-88,5.983744654571888e-104,2.0585068458685282e-122,2.879792275753924e-125,1.3110684735937862e-88,5.911910209648079e-107,3.9653976199450204e-85,1.8738363118515205e-71,2.319457968889715e-53,8.981887707068897e-52,2.5709489411811073e-52,3.1587452411142413e-84,8.606134063388796e-71,5.538917731509405e-72,1.0311964205626953e-105,3.4486747349969893e-71,1.0537612397240207e-105,1.950279400991415e-35,1.9502794009914152e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5704621640662311e-103,2.5290588988573446e-122,4.407877023731866e-118,8.067378803789344e-136,5.2781838831979245e-102,7.117525623559473e-120,8.647195375770593e-120,6.302092640935442e-167,6.597853158911888e-134,2.1367869984952614e-151,2.6949075044474998e-151,6.201214478455364e-172,6.534280442778601e-185,8.755985039569454e-185,2.4830746818945846e-153,2.975901825369859e-153,1.4748747654402522e-219,3.45377840527981e-154,1.850735226448112e-136,2.3255757169880186e-136,8.79290641262561e-119,1.6161104997280913e-199,1.6572161360629657e-205,1.1573782178710797e-203,1.3346585228805036e-35,1.1308498315599015e-52,-3.2849379238719164e-35,1.0850768774186561e-220,5.44621503338583e-219,4.505213062106722e-236
3,2.2200000000000002e-21,455962.5000000001,2203.0,0.9647266215924598,0.03875465000000001,2.067166515183676e-32,8.149579418633056e-19,0.0,0.0,0.0,0.0,0.0,0.0,3.4320728704547255e-90,8.512915972214935e-67,2.354944697395149e-37,1.1782486886720183e-49,8.149579418633467e-19,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.768157468913086e-66,9.645032743778761e-52,8.749562043332608e-72,2.9887197096209157e-64,1.8053423376593726e-50,9.451519574108912e-51,0.0,0.0,0.0,0.95,0.0,0.0,0.0,9.703924320499133e-83,2.1435644969292306e-96,1.5508880317093002e-85,1.2263983704017805e-85,2.22681216177386e-85,6.032864383170989e-65,0.0,9.645032743777988e-52,5.759733399337213e-66,2.974875054978187e-81,1.1884135498008928e-68,9.90448472921478e-85,5.729398041101125e-100,2.5166927401223806e-117,3.407424389084743e-120,1.5020287585411838e-85,6.78270318957889e-103,4.5228715549405697e-82,2.115366468889546e-69,2.5632636127953584e-52,9.926002644810462e-51,2.841189605359479e-51,3.6188228805080226e-81,8.673905152850168e-69,5.5825352822376586e-70,9.874061540321019e-102,3.4758321604178143e-69,1.0090127469762602e-101,2.0434297900962606e-35,2.0434297900962598e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.778376163099305e-101,2.914543956124269e-119,4.507403027665809e-113,8.419769936417431e-130,5.976964372088774e-100,8.295987829394152e-117,1.0078927901338627e-116,7.951412469829625e-161,7.851072217640941e-130,2.6377690238211373e-146,3.3268092544981264e-146,7.824133496831458e-166,9.298404739042761e-178,1.2459932428657585e-177,3.225425134584205e-148,3.865589954096457e-148,1.4067118313929275e-210,4.486334526665914e-149,2.3923615978380396e-132,3.0061663919718893e-132,1.128339318476976e-115,2.6377374711209125e-193,2.637177330327118e-199,1.8417703836969355e-197,1.3984052663805465e-35,1.2497170734068265e-51,-3.441835056476806e-35,1.797134205997109e-213,4.710609777443042e-210,3.8649413148238594e-226
4,2.222e-20,455962.5000000001,2203.0,0.9647266215924598,0.03875465000000001,2.0700994019159713e-30,8.156921382071405e-18,0.0,0.0,0.0,0.0,0.0,0.0,3.543552828179278e-87,8.540122412960375e-63,2.358285882544762e-35,1.1808575222644983e-46,8.156921382075542e-18,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.946653603898446e-64,9.887820832916005e-51,9.020318485227654e-70,2.9961498205481873e-60,1.8093652357925763e-47,9.472580676848154e-48,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0017073804536245e-79,2.22991599017313e-92,1.600935803198565e-82,1.2659747319067632e-82,2.3019427791630522e-82,6.219551896660664e-63,0.0,9.887820832908001e-51,5.93796885075516e-64,3.0679300097430867e-78,1.1885535331722975e-66,9.963442978968986e-82,5.6391215615754985e-96,2.6315955689043334e-112,3.549630744709149e-115,1.5504998219250426e-82,7.022287224338639e-99,4.675469128106424e-79,2.1808266684292102e-67,2.627786968099815e-51,1.0175863405134327e-49,2.9127090095298284e-50,3.7356034326011694e-78,8.674926853156843e-67,5.583192849703995e-68,9.718525040430932e-98,3.476241579095558e-67,9.931187493175534e-98,2.0661332185408539e-35,2.0661332185408477e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8351231397197333e-99,3.0211118019418474e-116,4.5091576551986185e-108,8.465191347707828e-124,6.167685921645711e-98,8.62507086911899e-114,1.0478736133841936e-113,8.388091704958464e-155,8.173411135622146e-126,2.769275909697487e-141,3.492687487962185e-141,8.253822768254135e-160,1.012263585068503e-170,1.3564408330156926e-170,3.4411702227390987e-143,4.124154952699284e-143,1.585186966800148e-201,4.786420437068759e-144,2.548852827160659e-128,3.2028083522228453e-128,1.1996335035414638e-112,2.9772210322923254e-187,2.9559040052550816e-193,2.064364952386535e-191,1.4139421808640708e-35,1.2811753823881036e-50,-3.480075399404928e-35,2.0316883818761152e-206,5.299351807733424e-201,4.347527329995108e-216
5,2.2222e-19,455962.5000000001,2202.999999999999,0.9647266215924603,0.03875465000000001,2.0703928216103656e-28,8.157655578396748e-17,0.0,0.0,0.0,0.0,0.0,0.0,4.296891303483159e-84,8.542846253540173e-59,2.3586201503401143e-33,1.1811186086575587e-43,8.157655578438156e-17,0.04999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9919882248053064e-62,9.948931108048178e-50,9.089567755127264e-68,2.996893520537482e-56,1.8097678393616495e-44,9.474688429742195e-45,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0094327738139772e-76,2.2516611065779495e-88,1.6132825813881206e-79,1.2757382147255237e-79,2.321095809523463e-79,6.266966971800599e-61,0.0,9.94893110796733e-50,5.98323726298696e-62,3.0908588582798155e-75,1.1883538175637648e-64,9.97552813589073e-79,5.614491511530251e-92,2.6596239112417285e-107,3.585574537092777e-110,1.5624576265005283e-79,7.083480705382068e-95,4.7143707887515967e-76,2.197452313384554e-65,2.644027633137414e-50,1.0238753886351299e-48,2.9307105945794457e-49,3.764413175464095e-75,8.67346918362011e-65,5.582254691720101e-66,9.676082093380754e-94,3.4756574575698553e-65,9.887815802241253e-94,2.0716675223874488e-35,2.0716675223873918e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8495709719932653e-97,3.04878122957429e-113,4.507333316058545e-103,8.472071660052871e-118,6.2162438032243736e-96,8.709289785507717e-111,1.0581055038312015e-110,8.496660320674544e-149,8.25306013393839e-122,2.8019143465096976e-136,3.533856924050668e-136,8.360653516395061e-154,1.0335699065651728e-163,1.384991464398485e-163,3.4968543949325654e-138,4.1908910162110487e-138,1.633757126639915e-192,4.863873118150207e-139,2.5891591446177765e-124,3.2534560039126797e-124,1.2179350374995772e-109,3.067957619599419e-181,3.0404555546170107e-187,2.1234146560163906e-185,1.4177295386105085e-35,1.2890935052142874e-49,-3.489397060998012e-35,2.094042231016362e-199,5.461634019591837e-192,4.4806827723263767e-206
6,2.2222200000000003e-18,455962.5000000001,2202.9999999999854,0.9647266215924654,0.03875464999999997,2.0704221648535265e-26,8.157728997844163e-16,0.0,0.0,0.0,0.0,0.0,0.0,7.303578329467814e-79,8.543118669522895e-55,2.3586535787633793e-31,1.1811447190968717e-40,8.157728998258241e-16,0.04999999999999915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.003766380602404e-60,9.965531908781366e-49,9.589850472940889e-66,2.996967897476427e-52,1.8098081028851117e-41,9.474899221737169e-42,0.0,0.0,0.0,0.9499999999999991,0.0,0.0,0.0,1.011387476880716e-73,2.2571549565739445e-84,1.6164066017513147e-76,1.2782086016293755e-76,2.3259986699537095e-76,6.279285639786751e-59,0.0,9.965531907952938e-49,5.994998217340362e-60,3.0966778105440926e-72,1.188439671095865e-62,9.980127968149658e-76,5.609651663673595e-88,2.6669359989959714e-102,3.594657790513502e-105,1.5654832280831457e-76,7.099032215540615e-91,4.724328950721647e-73,2.2017717390889742e-63,2.648439462947607e-49,1.025583828372156e-47,2.935600781190593e-48,3.771702707097386e-72,8.67409580519457e-63,5.582657984059736e-64,9.667741511848673e-90,3.4759085590996984e-63,9.879292711197725e-90,2.07384489907584e-35,2.0738448990752683e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.853570757579582e-95,3.4127924909380806e-110,4.5072431102843305e-98,8.47492094680564e-112,6.229686729541454e-94,8.732990186032416e-108,1.060984903282278e-107,8.525932333059095e-143,8.27490726126355e-118,2.8107608945671267e-131,3.545015718460683e-131,8.389456969050185e-148,1.0392399457824437e-156,1.3925893596824766e-156,3.5115645656515882e-133,4.208520781525434e-133,1.6458016670532252e-183,4.8843339082909925e-134,2.599688411231855e-120,3.266686749403658e-120,1.2226291454918046e-106,3.092035170932692e-175,3.0629086471629507e-181,2.1390956051356843e-179,1.4192196093937752e-35,1.2912444882103529e-48,-3.4930645084701794e-35,2.1104681058822604e-192,5.50189789985651e-183,4.513721698658047e-196
7,2.222222e-17,455962.50000000006,2202.9999999998536,0.9647266215925161,0.03875464999999969,2.0704250987952415e-24,8.157736337937669e-15,0.0,0.0,0.0,0.0,0.0,0.0,7.267884749434677e-73,8.543145910906971e-51,2.358656923096767e-29,1.1811473278474702e-37,8.15773634207847e-15,0.04999999999999145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.551490512640654e-58,1.1481631735932275e-47,4.928386421888579e-62,2.996975335718378e-48,1.8098121295496825e-38,9.474920303848368e-39,0.0,0.0,0.0,0.9499999999999923,0.0,0.0,0.0,1.0752333235166886e-70,2.384207685333496e-80,1.7184454858273728e-73,1.3588980637915102e-73,2.477251149202739e-73,6.852145418202177e-57,0.0,1.148163172507798e-47,6.541922427913977e-58,3.306443711051634e-69,1.3470030214419772e-60,1.1874056905473508e-72,7.029834359202194e-84,3.155259077425299e-97,3.793546177322839e-100,1.6643074785395298e-73,7.457960813712294e-87,5.03153716523342e-70,2.402639589126176e-61,3.0513581236494305e-48,1.1816103661405853e-46,3.3822065150768093e-47,4.0098003726290123e-69,9.831406291865211e-61,6.3275043131723925e-62,1.2115300942847222e-85,3.939669337153017e-61,1.2380410069710792e-85,2.9025340805617677e-35,2.902534080555182e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3328202534110843e-93,4.237382354242616e-105,5.086302370603228e-93,1.006952867861082e-105,7.840401757897665e-92,1.1942325800858088e-104,1.450892204699038e-104,1.119159662534458e-136,1.0623424074222666e-113,3.661309994270281e-126,4.617813502325341e-126,1.10124517337816e-141,1.464783347536685e-149,1.9628207251828987e-149,4.4876886445766404e-128,5.378380653046284e-128,1.6487570333456872e-174,6.24205234071964e-129,3.181739797138511e-116,3.9980742270471025e-116,1.3956590962526172e-103,4.5492225587624123e-169,4.49869700735293e-175,3.141831556111665e-173,1.986326598436541e-35,1.4876871398391944e-47,-4.888860679004827e-35,3.008129120978581e-185,5.511777663033308e-174,4.5218290400268085e-186
8,2.2222222000000003e-16,455962.5,2202.999999998535,0.9647266215930227,0.038754649999996844,2.070425388232071e-22,8.157737053434113e-14,0.0,0.0,0.0,0.0,0.0,0.0,7.267852894410352e-67,8.54314862970839e-47,2.3586572722909437e-27,1.1811475655863753e-34,8.157737094842148e-14,0.049999999999914356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.515453517153304e-54,1.523955691691709e-44,4.837376215998032e-57,2.9969760843345373e-44,1.8098125350248646e-35,9.474922439534942e-36,0.0,0.0,0.0,0.9499999999999225,0.0,0.0,0.0,6.446221652088475e-66,1.2812769633971014e-74,1.030239701137279e-68,8.146844032610584e-69,1.525700720067492e-68,5.768563578647057e-53,0.0,1.5239556840588644e-44,5.507398499501679e-54,2.1171232794258477e-64,1.5993752929887621e-56,1.905251565862196e-67,1.4288268175185483e-77,4.8983791979667135e-90,2.0051275712772742e-93,9.977829999735132e-69,3.6267185167540234e-81,3.098844835520321e-65,2.0226920534660213e-57,4.050064342892311e-45,1.568350095292084e-43,4.489198800823295e-44,2.4039626434528123e-64,1.1673402435877623e-56,7.513014739834668e-58,2.462457296249021e-79,4.6777993058310424e-57,2.5163412301103694e-79,8.313014379942413e-33,8.313014379854997e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.051000381768131e-87,6.352430893998525e-97,5.843569498619101e-86,1.604484711059613e-97,2.0336875837911357e-85,4.053003415498583e-97,4.924058477623964e-97,4.2061627980719117e-128,2.3573472838646957e-107,1.4936967986029222e-118,1.9083380625152995e-118,4.138834372684305e-133,4.6318645764191047e-138,6.206733440885998e-138,1.0620257573307834e-118,1.2728108474150236e-118,1.6563147703247316e-165,1.4772014927219864e-119,6.3280831355429275e-108,7.951670375741082e-108,1.87704777529655e-96,1.4113265614003313e-158,1.3680800763843814e-164,9.554493908032914e-163,5.688946664446221e-33,1.9746054475551405e-44,-1.400196104447518e-32,7.605718578096863e-174,5.537043233253203e-165,4.5429408756658014e-176
9,2.2222222200000004e-15,455962.50000000006,2202.9999999853444,0.9647266215980907,0.038754649999968395,2.0704253776008708e-20,8.157736939854244e-13,0.0,0.0,0.0,0.0,0.0,0.0,7.267853165508098e-61,8.543148848187121e-43,2.3586574548176954e-25,1.1811473579965786e-31,8.157737353934604e-13,0.04999999999914345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.455459372036049e-49,1.5140005002673149e-40,4.8372859938402545e-52,2.9969762071085733e-40,1.8098126036562208e-32,9.474922927840094e-33,0.0,0.0,0.0,0.9499999999992251,0.0,0.0,0.0,6.345132495601852e-60,1.2587128306785746e-67,1.0140836339464275e-62,8.01908642719227e-63,1.5024618547353889e-62,5.705816254015245e-48,0.0,1.5140004267617916e-40,5.447491901809859e-49,2.086171936633924e-58,1.587504341757208e-51,1.8952821553066677e-61,1.42322580270571e-70,4.8717773586273324e-82,1.9691945974674068e-85,9.82136220765369e-63,3.555787248126996e-74,3.051632493773238e-59,2.000691590918866e-52,4.023608800041884e-41,1.5581047131672726e-39,4.459872083691058e-40,2.366263592914035e-58,1.1586759852498133e-51,7.45724766070878e-53,2.4528038578673926e-72,4.643079532709633e-52,2.506476693789115e-72,8.292318618863199e-30,8.292318617994719e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.00897743721898e-79,6.316713094797543e-88,5.798549490605009e-78,1.5960192936463858e-88,2.0195648108557694e-77,4.024894117374343e-88,4.889908035464202e-88,1.5395701412217734e-116,5.086657305777279e-100,6.428109414190729e-108,8.351402416649322e-108,1.514926103803659e-121,4.59392158111905e-125,6.155889541061791e-125,1.053314761830642e-107,1.2623709417691416e-107,5.577836628294458e-154,1.465085124517527e-108,6.276128305117005e-98,7.88638556099623e-98,1.861592009036442e-87,1.4038516590187262e-146,1.361499606476043e-152,9.508540372443438e-151,5.6747836814461336e-30,1.961706152319365e-40,-1.396710230116913e-29,7.562365510338133e-161,1.864665506837578e-153,1.5654130582165783e-163
