,t[s],P[Pa],T[K],density[kg/m3],mean_MW[kg/mol],HE,AR,N2,H,H2,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,CH2CHO,CH3CHO,CH3CO,H2CC,CH3O2,CH3OOH,C2H5O2,C2H5OOH,C2H2OH,C2H3OH,C2H4O,C2H5OH,C2H4OH,CH3CHOH,C3H8,NC3H7,IC3H7,C3H6,C3H5,CH3CCH2,AC3H4,PC3H4,C3H3,C2H5CHO,CH3COCH3,CH3COCH2,C2H3CHO,C3H5OH,NC3H7O2,NC3H7OOH,IC3H7O2,IC3H7OOH,C4H2,NC4H3,IC4H3,C4H4,NC4H5,IC4H5,C4H5-2,C4H6,C4H612,C4H6-2,C4H7,IC4H7,IC4H7-1,C4H81,C4H82,IC4H8,NC4H9,SC4H9,IC4H9,TC4H9,C4H10,IC4H10,H2C4O,CH2CHCHCHO,CH3CHCHCO,CH3CHCHCHO,C3H7CHO,IC3H7CHO,C2H5COCH3,C2H3COCH3,OH*,CH*
0,0.0,455962.5000000001,2203.0,0.9647266215924598,0.03875465000000001,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.435742274069807e-19
1,2e-23,455962.5000000001,2203.0,0.9647266215924598,0.03875465000000001,0.0,0.95,0.0,5.551636448955463e-21,1.6299281366129184e-36,0.0,0.0,0.0,0.0,0.0,0.0,8.348374562721319e-69,2.9183440752135724e-35,7.309948780937773e-42,5.317325488712087e-56,5.5516364489554664e-21,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.035865002447342e-98,3.763452915187487e-76,3.28732839812914e-69,2.0137388735738994e-50,8.695901916523509e-57,4.0218367189065993e-57,0.0,0.0,0.0,0.0,0.0,1.0009009987772718e-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.521850451260865e-93,4.14708306787003e-89,4.5636842922261264e-94,7.0109593625985045e-87,1.1456400299710358e-103,1.7766347486350126e-121,8.863155277333693e-99,9.036503755166766e-99,-2.180934096844418e-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4635610874693507e-152,-2.0032886219266455e-139,-2.502296388529346e-136,-8.825327828879577e-119,-3.2739261416127924e-103,-7.53191939082751e-104,-4.1771794579474356e-121,-2.971476734681765e-103,-8.185888826236917e-107,-1.1333502945472212e-119,-4.516536019790165e-123,2.0249280435154114e-120,3.1973396281647546e-138,3.97955446831045e-108,8.884716662426063e-109,8.002391478834482e-125,1.6654708407482662e-93,3.3977281356272807e-93,2.2315739988253522e-126,5.891554434045316e-132,2.8287802367196177e-92,1.031235230573327e-130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.918333335537579e-35
2,2.2e-22,455962.5000000001,2203.0,0.9647266215924598,0.03875465000000001,0.0,0.95,0.0,6.106800093850992e-20,1.8890237162896317e-34,0.0,0.0,0.0,0.0,0.0,0.0,9.128822553875631e-67,3.6308597501841555e-35,8.471948119596235e-40,6.71421307843119e-53,6.106800093851029e-20,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.043264298525903e-94,3.772625550250959e-73,3.8547804341354946e-67,3.0699752489394525e-49,1.0991846575132115e-53,5.0837063928301375e-54,0.0,0.0,0.0,0.0,0.0,1.6527128313759045e-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.985249294654031e-88,8.161695992596916e-86,7.426104967834524e-89,1.3776677213346724e-83,1.7805546940092995e-99,4.598833219230949e-117,1.4985739622473455e-96,1.5278835599310386e-96,6.416738232277939e-101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.425496593629362e-147,-3.795192484490218e-135,-4.740553280125946e-132,-1.022341521522552e-115,9.632536385579111e-101,2.2160392277406258e-101,-4.8389182651506235e-118,8.742670581940382e-101,2.4084499330869916e-104,-1.3128929451819938e-116,5.126469072188914e-119,3.793781731000924e-117,1.4004772420846978e-133,4.563624894422209e-103,1.018870691767364e-103,5.537529729397658e-119,1.9099083202145727e-89,3.896405195029217e-89,6.878406553217897e-121,1.1405782649728157e-124,3.243954068713845e-88,1.9964247181850707e-123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.629615063243398e-35
3,2.2200000000000002e-21,455962.5000000001,2203.0,0.9647266215924598,0.03875465000000001,0.0,0.95,0.0,6.162316458340373e-19,1.916088805950749e-32,0.0,0.0,0.0,0.0,0.0,0.0,9.362623976424307e-65,3.929226893663702e-35,8.593330415379086e-38,6.865392673682431e-50,6.162316458340757e-19,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0432823399370284e-90,3.77264791315462e-70,4.045114064075534e-65,3.4532677697310093e-48,1.1240371314614609e-50,5.198648572767963e-51,0.0,0.0,0.0,0.0,0.0,1.891648466033582e-64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.400840866290739e-83,1.0751339308492124e-82,7.769581985945686e-84,1.5921488315498704e-80,1.9517635375868403e-95,5.2191539475454e-112,1.7416555342441505e-94,1.7757194132152878e-94,1.6049750165232322e-97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.974051005072394e-142,1.4913092821053634e-130,1.8627859160908177e-127,1.5450153122518332e-111,2.409320699242927e-97,5.542827940648255e-98,7.312823217097418e-114,2.1867446284725674e-97,6.02409172892537e-101,1.9841116309476188e-112,5.735814685549435e-113,1.3922881914314205e-113,1.6614118887264212e-129,4.622077298600877e-98,1.031920721701213e-98,4.4182541327554265e-113,1.93437105228869e-85,3.946311630497305e-85,8.511836536316078e-116,1.2137821619701336e-117,3.285503696204769e-84,2.1245580290865085e-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.802974867625838e-35
4,2.222e-20,455962.5000000001,2203.0,0.9647266215924598,0.03875465000000001,0.0,0.95,0.0,6.167868094787602e-18,1.9188073442955927e-30,0.0,0.0,0.0,0.0,0.0,0.0,2.560347580753114e-62,1.6488342822556534e-34,8.605522594716474e-36,6.880628941090088e-47,6.167868094791438e-18,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.043282459550433e-86,3.772648046300268e-67,1.0769627638082973e-62,9.61405034476587e-47,1.1265418568990858e-47,5.210232876312139e-48,0.0,0.0,0.0,0.0,0.0,4.545833849706779e-62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.443149976047257e-78,1.5190388135095482e-78,7.80454950657436e-79,3.0313932223299876e-77,3.6488073223682947e-91,8.810164901388568e-107,9.035085896093692e-92,9.211809807855987e-92,9.064847489741914e-94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9311850233347909e-134,1.974370716328744e-124,2.4661751976215424e-121,1.2954374500016942e-106,1.3607766144441256e-93,3.130571468502726e-94,6.131528267421379e-109,1.2350663625322273e-93,3.402387714866277e-97,1.663603260971475e-107,5.735735250183813e-107,9.438700916190352e-108,3.6813619724985374e-124,4.6279225500423095e-93,1.0332257271515412e-93,4.286667064707346e-107,1.9368173301130926e-81,3.9513022834349647e-81,1.9212222027205834e-110,1.2213135092985435e-110,3.2896586668115615e-80,2.1377406123712154e-109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8452276369822086e-35
5,2.2222e-19,455962.5000000001,2202.999999999999,0.9647266215924605,0.038754650000000015,0.0,0.9500000000000002,0.0,6.168423258415239e-17,1.9190793195748253e-28,0.0,0.0,0.0,0.0,0.0,0.0,1.6500496766891193e-58,1.2683462516749592e-32,8.606742357848513e-34,6.882153754475441e-44,6.168423258453615e-17,0.04999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.043289845104139e-82,3.772655755325383e-64,6.806800085305576e-59,6.172683860030927e-44,1.126792524786823e-44,5.21139221016621e-45,0.0,0.0,0.0,0.0,0.0,2.6423011368321285e-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.447388445922234e-73,1.424277555121668e-73,7.808052505804794e-74,1.4191857475182622e-72,1.6971596829493148e-85,3.4629261380990334e-100,2.7453560703651835e-86,2.7990519147030097e-86,7.330290875217669e-89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7204375302674146e-126,1.717970499422146e-117,2.1459071494455594e-114,1.0928989797265727e-100,1.1003923023015132e-88,2.5315372921502097e-89,5.172878850791805e-103,9.987366800250375e-89,2.7513415592827752e-92,1.4035029684991066e-101,5.736354826443085e-101,9.481068142771206e-102,4.343259563214768e-117,4.6285070748657536e-88,1.0333562275833196e-88,4.366430777279667e-101,1.9370619577968275e-77,3.951801348244618e-77,1.0514798246419567e-103,1.2220687865110115e-103,3.2900741638626e-76,2.139062620840955e-102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8555272787017104e-35
6,2.2222200000000003e-18,455962.5000000001,2202.999999999989,0.9647266215924639,0.038754649999999974,0.0,0.9499999999999993,0.0,6.168478774606721e-16,1.9191065182751963e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.640995341377895e-54,1.2645472403965188e-30,8.606864344814531e-32,6.88230624636955e-41,6.168478774990501e-16,0.04999999999999936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044028269644488e-78,3.77342658297979e-61,6.767288248049254e-55,6.138148917569539e-41,1.1268175934895439e-41,5.2115081527817274e-42,0.0,0.0,0.0,0.0,0.0,2.62314330089953e-54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.44781236838016e-68,1.423379203410467e-68,7.808402867188322e-69,1.4029813573124879e-67,1.6776154957263963e-79,3.4090666286093377e-93,2.699660470908358e-80,2.7524614372972406e-80,7.312553763968576e-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7179934836389566e-118,1.7151276861821315e-110,2.142356207159992e-107,1.090745364959506e-94,1.0977296732746938e-83,2.525411708925282e-84,5.162685421736066e-97,9.963200280368728e-84,2.7446841234314038e-87,1.4007372922576214e-95,5.736426142780766e-95,1.0036501091671582e-95,1.4894713495013046e-109,4.628565524121877e-83,1.0333692764890547e-83,5.3108974391231005e-95,1.9370864195664014e-73,3.951851249860491e-73,1.0427414203779367e-96,1.2221443353900184e-96,3.290115713451345e-72,2.139194858987358e-95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8594639641729344e-35
7,2.222222e-17,455962.49999999994,2202.99999999989,0.9647266215925018,0.038754649999999766,0.0,0.9499999999999941,0.0,6.168484324512442e-15,1.9191092377086655e-24,0.0,0.0,0.0,0.0,0.0,0.0,1.6409096145558407e-50,1.2645109663441993e-28,8.606876595498194e-30,6.882321482512757e-38,6.1684843283502635e-15,0.04999999999999354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.117869953228476e-74,3.8505091172202506e-58,6.766911326196149e-51,6.137812787319295e-38,1.12682009997815e-38,5.2115197490595504e-39,0.0,0.0,0.0,0.0,0.0,2.6229538789802905e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.447854759595146e-63,1.4233758723153837e-63,7.808437893334662e-64,1.4028233934982576e-62,1.677426220633074e-73,3.40854270870546e-86,2.6992157570925125e-74,2.7520079103227964e-74,7.31239605978363e-79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7179714774726424e-110,1.7151018818894023e-103,2.1423239703009935e-100,1.0907256578966534e-88,1.0977051208779392e-78,2.525355224687324e-79,5.162592145425404e-91,9.96297744087294e-79,2.744622831934132e-82,1.4007119844909727e-89,5.736433326791687e-89,1.5599533255123485e-89,1.2064131876124292e-101,4.628571337674254e-78,1.0333705701617189e-78,1.4770426872091012e-88,1.937088855755064e-69,3.9518561913705314e-69,1.0426591712309435e-89,1.2221518874868474e-89,3.2901198672461025e-68,2.139208080574395e-88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.286968660461793e-35
8,2.2222222000000003e-16,455962.5000000001,2202.9999999988977,0.9647266215928829,0.03875464999999761,0.0,0.9499999999999413,0.0,6.16848486236886e-14,1.9191095051646712e-22,0.0,0.0,0.0,0.0,0.0,0.0,1.6409102452809898e-46,1.2645120464938412e-26,8.606878339891917e-28,6.882322874479516e-35,6.168484900747083e-14,0.04999999999993524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0502036607125073e-69,1.1558765170075566e-54,6.7669134746469e-47,6.137814782832723e-35,1.1268203466151363e-35,5.211520927947012e-36,0.0,0.0,0.0,0.0,0.0,2.6229536836503837e-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.447858980853387e-58,1.4233764374653039e-58,7.808441289783573e-59,1.402823105063361e-57,1.6774272592324987e-67,3.408547144354294e-79,2.699215504502354e-68,2.7520076368043226e-68,7.312982295494248e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7179734918992764e-102,1.7151035249535324e-96,2.1423259740011433e-93,1.0907263300137298e-82,1.0977052970004929e-73,2.525355634299668e-74,5.162595332745515e-85,9.962979065988448e-74,2.744624247750735e-77,1.4007128785002705e-83,5.7364342576177824e-83,7.123083872677978e-83,1.1781361358372778e-93,4.628571694301417e-73,1.0333706030149135e-73,1.0936747318432197e-81,1.9370889994912073e-65,3.951856199006597e-65,1.0426600761320794e-82,1.2221526126418858e-82,3.290120270984807e-64,2.139209376703948e-81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4321936532490122e-32
9,2.2222222200000004e-15,455962.5000000001,2202.999999988978,0.9647266215966914,0.0387546499999761,0.0,0.9499999999994139,0.0,6.168484744813163e-13,1.919109487035759e-20,0.0,0.0,0.0,0.0,0.0,0.0,1.6409204692452275e-42,1.264524890010815e-24,8.606883707581209e-26,6.882321697189406e-32,6.168485128595401e-13,0.049999999999352326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.489245797494829e-64,7.823892434183576e-50,6.766954921821272e-43,6.137859171263298e-32,1.1268203311582634e-32,5.211521238424163e-33,0.0,0.0,0.0,0.0,0.0,2.6229683306380677e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.447859224270569e-53,1.4233768174472568e-53,7.80844056771e-54,1.4028317639688064e-52,1.677450498250923e-61,3.4086289487511024e-72,2.6992468202070378e-62,2.752039518812569e-62,7.371501325258292e-69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7179927710691092e-94,1.715119379064673e-89,2.1423452908467776e-86,1.0907329309215507e-76,1.097707290150288e-68,2.525360263983041e-69,5.1626266367245457e-79,9.962997422134966e-69,2.744638985883979e-72,1.4007246705460856e-77,5.736506418146745e-77,6.275556645398695e-76,1.1753654895616174e-85,4.628578383135702e-68,1.033371207679589e-68,1.0553642500857721e-74,1.93708801503848e-61,3.951851334627997e-61,1.0426721750467106e-75,1.2221523845896065e-75,3.2901201949515764e-60,2.1392092459883697e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4283408530631477e-29
