,Unnamed: 0,t[s],P[Pa],T[K],density[kg/m3],mean_MW[kg/mol],gas_mass[kg],gas_volume[m3],reactor_volume[m3],N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,total_soot_mass[kg],volume_fraction,SSA[m2/g],total_carbon_mass[kg],carbon_yield,total_hydrogen_mass[kg],total_carbon_mass[kg].1,total_hydrogen_mass[kg].1,C_tot_inception[mol/kg-s],C_tot_PAH[mol/kg-s],C_tot_growth[mol/kg-s],C_tot_int[mol],C_tot_inception_int[mol],C_tot_PAH_int[mol],C_tot_growth_int[mol]
0,0,0.0,596250.0000000002,2500.0,1.1116754563090454,0.03875465,1.1116754563090452,0.9999999999999998,0.9999999999999998,1.4901327247760852e-19,1.660539131934866e-24,4.800286584411558e-12,3.321078263869749e-23,1.2567588138810746e-17,0.0997594106953998,1.1116755070483078e-06,89.73789079289232,0.0010000000456421,1.9999399719905624,88.00959055791596,68.22448880458599,88.00959055791596,1.0,6.40950293182867e-14,3.560834962127039e-17,2.179744580432004e-07,0.0172267507328509,3.720668529557468e-12,0.0057828872662223,0.0172267507328509,0.0057828872662223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1.0356541229514381e-09,596250.0000000001,2499.9212332453685,1.111705720017784,0.0387544839731873,1.1116754563090452,0.9999727772303464,0.9999727772303464,1.6605391319350332e-24,1.6605391319351993e-24,6.41564781617439e-22,3.321078263869749e-23,1.2567588139017525e-17,1.1117057707585394e-06,1.1117057707586504e-06,0.0010000000456422,0.0010000000456423,1.9999399719938449,1.999939971992813,1.5503410635603214,1.9999399719925524,1.0000000000001,8.603602155151276e-24,4.7799090974483676e-27,1623.8639382902518,0.0172267507327868,4.972723712763552e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,1.8097433827781844e-136,3.8653626226923184e-106,1.150353352306111e-37,6.622073893295726e-47,1.0417889759381585e-145,2.2251177745114765e-115,6.622073893295726e-47
2,2,1.1007095509046326e-08,596250.0,2499.1661216024863,1.111995890730669,0.0387528904254778,1.1116754563090452,0.9997118384840312,0.9997118384840312,1.660539132057123e-24,1.6605391319348665e-24,6.415648118881362e-22,3.321078263869749e-23,1.2567588138814569e-17,1.1119959415664271e-06,1.111995941484557e-06,0.0010000000457157,0.0010000000456421,1.999939971990576,1.999939973123276,1.5503410644366489,1.9999399731232748,1.0,8.603602559335734e-24,4.781156945064337e-27,1623.8638619773144,0.017226750732788,4.972723947389607e-22,0.0057828872662225,0.017226750732788,0.0057828872662225,5.0293580019989644e-110,5.4644226932480094e-73,1.6466571861971958e-32,6.367829154306057e-41,1.9448315366426756e-118,2.1130692186061688e-81,6.367829154306057e-41
3,3,3.784538095599696e-08,596250.0000000002,2497.160690059725,1.112767056987262,0.0387486470086005,1.1116754563090452,0.999019021392337,0.999019021392337,1.660539132020435e-24,1.6605391321060034e-24,6.415648240246145e-22,3.321078263869754e-23,1.2567588242766756e-17,1.1127671078336892e-06,1.1127671078910308e-06,0.0010000000456936,0.0010000000457452,1.9999399736704,1.9999399731438927,1.5503410644526312,1.9999399730119376,1.0000000000515306,8.603602721386047e-24,4.784472755080596e-27,1623.8638448232734,0.0172267507327853,4.972724041458602e-22,0.0057828872662218,0.0172267507327853,0.0057828872662218,5.938272321943583e-96,5.946099651016771e-66,1.1860785989806565e-29,1.344638741882831e-37,6.705605898524737e-104,6.714446419735642e-74,1.344638741882831e-37
4,4,8.355820876134487e-08,596250.0,2493.8237388718235,1.114052456230218,0.0387415674761144,1.1116754563090452,0.9978663482963664,0.9978663482963664,1.6605391320321798e-24,1.6605391319348665e-24,6.4156480569527275e-22,3.321078263869907e-23,1.2567588138814657e-17,1.1140525071432594e-06,1.1140525070779722e-06,0.0010000000457007,0.0010000000456421,1.9999399719905764,1.9999399728921767,1.5503410642575026,1.9999399728921765,1.0,8.603602476646551e-24,4.7899993439531566e-27,1623.8638775842735,0.0172267507327932,4.9727238993891545e-22,0.0057828872662232,0.0172267507327932,0.0057828872662232,1.5160635467712662e-81,9.523234039067204e-59,8.488265162796717e-28,1.6805438185601474e-35,2.879371933280634e-89,1.8086931819910667e-66,1.6805438185601474e-35
5,5,1.4894741866325554e-07,596250.0,2489.19841834854,1.1158388191397746,0.0387317192763254,1.1116754563090452,0.9962688492645032,0.9962688492645032,1.6605391323870005e-24,1.6605391319348665e-24,6.415648937924946e-22,3.3210782638749105e-23,1.2567588138814689e-17,1.1158388703728844e-06,1.115838870069062e-06,0.0010000000459144,0.0010000000456421,1.9999399719905764,1.9999399761795824,1.5503410668058786,1.9999399761795813,1.0,8.603603652950134e-24,4.797680676981116e-27,1623.8636555660428,0.0172267507327979,4.972724582224556e-22,0.0057828872662027,0.0172267507327979,0.0057828872662027,6.498252030071878e-68,6.255276849804902e-52,1.6870452519016982e-26,5.551219827596941e-34,1.8984864344260568e-75,1.8275011010668159e-59,5.551219827596941e-34
6,6,2.500302191629336e-07,596250.0000000002,2482.335736670694,1.1184971846625171,0.038716956264574,1.1116754563090452,0.9939009874615552,0.9939009874615552,1.6605391327403912e-24,1.6605391319348665e-24,6.41564981540709e-22,3.321078263981371e-23,1.2567588138815473e-17,1.1184972362557191e-06,1.1184972357131382e-06,0.0010000000461272,0.0010000000456421,1.999939971990577,1.999939979453739,1.5503410693439847,1.9999399794537376,1.0,8.603604824594779e-24,4.809111288153435e-27,1623.863434427308,0.0172267507328154,4.97272526235482e-22,0.0057828872661562,0.0172267507328154,0.0057828872661562,4.845780816030123e-56,5.4281043984120165e-46,2.058775896252328e-25,1.0802718957359734e-32,2.0223933685372878e-63,2.2654350155363504e-53,1.0802718957359734e-32
7,7,4.25984958241467e-07,596250.0000000001,2471.0276180376586,1.1228865714160854,0.038691830858518,1.1116754563090452,0.9900158080144268,0.9900158080144268,1.660539132360207e-24,1.6605391327855482e-24,6.415649928751308e-22,3.3210782660340974e-23,1.2567588650531259e-17,1.1228866229546703e-06,1.1228866232422935e-06,0.0010000000458983,0.0010000000461544,1.999939980268496,1.9999399776912528,1.5503410679777163,1.9999399770675657,1.0000000002561464,8.603604975958774e-24,4.8279840619773865e-27,1623.8634719775475,0.0172267507328146,4.972725350207134e-22,0.0057828872661561,0.0172267507328146,0.0057828872661561,2.1330799693467698e-44,3.6305898835903595e-40,2.1763230021220852e-24,2.098001790963953e-31,1.6445315890694613e-51,2.799071091275623e-47,2.0980017909639528e-31
8,8,6.814538866195902e-07,596250.0000000001,2455.529198075472,1.1288853649172783,0.038654560381336,1.1116754563090452,0.9847549546277498,0.9847549546277498,1.6605393766738233e-24,1.6605396214128807e-24,6.416863134962009e-22,3.3210782889387705e-23,1.2567868151158777e-17,1.128885582823085e-06,1.1288857492042004e-06,0.0010000001930273,0.0010000003404127,1.999944509203617,1.9999431635098743,1.5503435972535686,1.9999428932586336,1.0000001473852782,8.605224889657617e-24,4.854690470749032e-27,1623.593891028133,0.0172267507328479,4.973665697848604e-22,0.0057828872661609,0.0172267507328479,0.0057828872661609,9.030911902786087e-35,2.3887766381666112e-35,1.4910170170946792e-23,2.302919551562107e-30,9.465578757860377e-42,2.503871018456765e-42,2.3029195515501374e-30
9,9,1.06291946315267e-06,596250.0000000001,2433.325728606904,1.1373652911349876,0.0385927753956936,1.1116754563090452,0.9774128549322036,0.9774128549322036,1.6605540381976704e-24,1.6605689444651628e-24,6.489668719716714e-22,3.3210790923653497e-23,1.2584635009823267e-17,1.1373755529035654e-06,1.1373857627635525e-06,0.0010000090224034,0.0010000179991676,2.00021618257841,2.000134308959605,1.5504954016123271,2.000117895793775,1.0000089766831728,8.70243734644522e-24,4.9464127572039535e-27,1607.5990334756875,0.0172267507328361,5.030096796952669e-22,0.0057828872662185,0.0172267507328361,0.0057828872662185,2.531853938452254e-26,4.064786311595125e-31,3.410935943051658e-22,6.478943942143802e-29,4.29664484941303e-33,6.899093724560877e-38,6.478514270759766e-29
