dm,dN/dm
2.82717,9.00E+06
3.10379,1.34E+07
3.47169,2.10E+07
3.81137,4.89E+08
4.18429,4.52E+08
4.62237,8.76E+08
5.10632,4.40E+08
5.60594,7.67E+08
6.19287,8.09E+08
6.84124,1.03E+09
7.5575,1.53E+09
8.34875,2.15E+09
9.22284,2.96E+09
10.1252,3.86E+09
11.2552,4.40E+09
12.3564,5.74E+09
13.5654,6.38E+09
15.0792,6.90E+09
16.5546,6.90E+09
18.2878,7.88E+09
20.3286,7.28E+09
22.457,6.90E+09
24.6543,6.55E+09
27.4055,6.72E+09
30.4638,5.44E+09
33.4445,3.76E+09
37.1767,2.88E+09
41.3253,1.89E+09
45.937,1.14E+09
51.0632,5.89E+08
