time,Np,dp,dm ,dg,np
0,2.62606E+18,2.00E-09,0.000000002,1.43E-09,1
3.03E-06,2.61222E+18,2.00E-09,2.00476E-09,1.43E-09,1.005297666
6.06E-06,2.5985E+18,2.00E-09,2.00952E-09,1.44E-09,1.010606492
9.09E-06,2.58489E+18,2.00E-09,2.01427E-09,1.44E-09,1.015926463
1.21E-05,2.5714E+18,2.00E-09,2.01902E-09,1.45E-09,1.02125757
1.52E-05,2.55801E+18,2.00E-09,2.02377E-09,1.45E-09,1.0265998
1.82E-05,2.54474E+18,2.00E-09,2.02851E-09,1.46E-09,1.03195314
2.12E-05,2.53158E+18,2.00E-09,2.03325E-09,1.46E-09,1.03731758
2.42E-05,2.51853E+18,2.00E-09,2.03798E-09,1.46E-09,1.042693107
2.73E-05,2.50559E+18,2.00E-09,2.04271E-09,1.47E-09,1.048079709
3.03E-05,2.49275E+18,2.00E-09,2.04744E-09,1.47E-09,1.053477376
3.33E-05,2.48002E+18,2.00E-09,2.05216E-09,1.48E-09,1.058886095
3.64E-05,2.46739E+18,2.00E-09,2.05688E-09,1.48E-09,1.064305854
3.94E-05,2.45486E+18,2.00E-09,2.0616E-09,1.49E-09,1.069736643
4.24E-05,2.44244E+18,2.00E-09,2.06631E-09,1.49E-09,1.075178449
4.55E-05,2.43011E+18,2.00E-09,2.07102E-09,1.50E-09,1.080631262
4.85E-05,2.41789E+18,2.00E-09,2.07573E-09,1.50E-09,1.08609507
5.15E-05,2.40576E+18,2.00E-09,2.08043E-09,1.50E-09,1.091569861
5.45E-05,2.39373E+18,2.00E-09,2.08513E-09,1.51E-09,1.097055624
5.76E-05,2.3818E+18,2.00E-09,2.08982E-09,1.51E-09,1.102552348
6.06E-05,2.36996E+18,2.00E-09,2.09451E-09,1.52E-09,1.108060021
6.36E-05,2.35821E+18,2.00E-09,2.0992E-09,1.52E-09,1.113578633
6.67E-05,2.34656E+18,2.00E-09,2.10389E-09,1.53E-09,1.119108173
6.97E-05,2.335E+18,2.00E-09,2.10857E-09,1.53E-09,1.124648628
7.27E-05,2.32353E+18,2.00E-09,2.11325E-09,1.54E-09,1.130199989
7.58E-05,2.31215E+18,2.00E-09,2.11792E-09,1.54E-09,1.135762244
7.88E-05,2.30086E+18,2.00E-09,2.12259E-09,1.55E-09,1.141335382
8.18E-05,2.28966E+18,2.00E-09,2.12726E-09,1.55E-09,1.146919393
8.48E-05,2.27855E+18,2.00E-09,2.13192E-09,1.55E-09,1.152514264
8.79E-05,2.26752E+18,2.00E-09,2.13658E-09,1.56E-09,1.158119987
9.09E-05,2.25657E+18,2.00E-09,2.14124E-09,1.56E-09,1.163736549
9.39E-05,2.24571E+18,2.00E-09,2.14589E-09,1.57E-09,1.16936394
9.70E-05,2.23494E+18,2.00E-09,2.15054E-09,1.57E-09,1.175002149
0.0001,2.22424E+18,2.00E-09,2.15519E-09,1.58E-09,1.180651166
0.00010303,2.21363E+18,2.00E-09,2.15983E-09,1.58E-09,1.18631098
0.00010606,2.2031E+18,2.00E-09,2.16447E-09,1.59E-09,1.19198158
0.00010909,2.19265E+18,2.00E-09,2.1691E-09,1.59E-09,1.197662956
0.00011212,2.18228E+18,2.00E-09,2.17374E-09,1.59E-09,1.203355097
0.00011515,2.17199E+18,2.00E-09,2.17837E-09,1.60E-09,1.209057993
0.00011818,2.16177E+18,2.00E-09,2.18299E-09,1.60E-09,1.214771634
0.00012121,2.15163E+18,2.00E-09,2.18762E-09,1.61E-09,1.220496008
0.00012424,2.14157E+18,2.00E-09,2.19224E-09,1.61E-09,1.226231106
0.00012727,2.13158E+18,2.00E-09,2.19685E-09,1.62E-09,1.231976917
0.0001303,2.12167E+18,2.00E-09,2.20147E-09,1.62E-09,1.237733431
0.00013333,2.11183E+18,2.00E-09,2.20608E-09,1.63E-09,1.243500638
0.00013636,2.10206E+18,2.00E-09,2.21068E-09,1.63E-09,1.249278527
0.00013939,2.09236E+18,2.00E-09,2.21529E-09,1.63E-09,1.255067089
0.00014242,2.08274E+18,2.00E-09,2.21989E-09,1.64E-09,1.260866312
0.00014545,2.07319E+18,2.00E-09,2.22449E-09,1.64E-09,1.266676188
0.00014848,2.0637E+18,2.00E-09,2.22908E-09,1.65E-09,1.272496706
0.00015152,2.05429E+18,2.00E-09,2.23367E-09,1.65E-09,1.278327855
0.00015455,2.04495E+18,2.00E-09,2.23826E-09,1.66E-09,1.284169627
0.00015758,2.03567E+18,2.00E-09,2.24284E-09,1.66E-09,1.290022011
0.00016061,2.02646E+18,2.00E-09,2.24742E-09,1.67E-09,1.295884997
0.00016364,2.01731E+18,2.00E-09,2.252E-09,1.67E-09,1.301758575
0.00016667,2.00824E+18,2.00E-09,2.25658E-09,1.67E-09,1.307642735
0.0001697,1.99922E+18,2.00E-09,2.26115E-09,1.68E-09,1.313537468
0.00017273,1.99028E+18,2.00E-09,2.26572E-09,1.68E-09,1.319442763
0.00017576,1.98139E+18,2.00E-09,2.27028E-09,1.69E-09,1.325358612
0.00017879,1.97257E+18,2.00E-09,2.27485E-09,1.69E-09,1.331285004
0.00018182,1.96382E+18,2.00E-09,2.27941E-09,1.70E-09,1.337221929
0.00018485,1.95512E+18,2.00E-09,2.28396E-09,1.70E-09,1.343169378
0.00018788,1.94649E+18,2.00E-09,2.28852E-09,1.71E-09,1.349127342
0.00019091,1.93791E+18,2.00E-09,2.29307E-09,1.71E-09,1.35509581
0.00019394,1.9294E+18,2.00E-09,2.29761E-09,1.71E-09,1.361074774
0.00019697,1.92095E+18,2.00E-09,2.30216E-09,1.72E-09,1.367064223
0.0002,1.91255E+18,2.00E-09,2.3067E-09,1.72E-09,1.373064149
0.00020303,1.90422E+18,2.00E-09,2.31124E-09,1.73E-09,1.379074541
0.00020606,1.89594E+18,2.00E-09,2.31577E-09,1.73E-09,1.38509539
0.00020909,1.88772E+18,2.00E-09,2.3203E-09,1.74E-09,1.391126688
0.00021212,1.87956E+18,2.00E-09,2.32483E-09,1.74E-09,1.397168424
0.00021515,1.87145E+18,2.00E-09,2.32936E-09,1.75E-09,1.403220589
0.00021818,1.8634E+18,2.00E-09,2.33388E-09,1.75E-09,1.409283175
0.00022121,1.8554E+18,2.00E-09,2.3384E-09,1.75E-09,1.415356171
0.00022424,1.84746E+18,2.00E-09,2.34292E-09,1.76E-09,1.421439568
0.00022727,1.83958E+18,2.00E-09,2.34744E-09,1.76E-09,1.427533358
0.0002303,1.83174E+18,2.00E-09,2.35195E-09,1.77E-09,1.433637531
0.00023333,1.82396E+18,2.00E-09,2.35646E-09,1.77E-09,1.439752077
0.00023636,1.81624E+18,2.00E-09,2.36096E-09,1.78E-09,1.445876989
0.00023939,1.80856E+18,2.00E-09,2.36547E-09,1.78E-09,1.452012257
0.00024242,1.80094E+18,2.00E-09,2.36997E-09,1.79E-09,1.458157871
0.00024545,1.79337E+18,2.00E-09,2.37446E-09,1.79E-09,1.464313823
0.00024848,1.78585E+18,2.00E-09,2.37896E-09,1.79E-09,1.470480104
0.00025152,1.77838E+18,2.00E-09,2.38345E-09,1.80E-09,1.476656704
0.00025455,1.77096E+18,2.00E-09,2.38794E-09,1.80E-09,1.482843616
0.00025758,1.76355E+18,2.00E-09,2.39245E-09,1.81E-09,1.489076269
0.00026061,1.75628E+18,2.00E-09,2.3969E-09,1.81E-09,1.49523999
0.00026364,1.74926E+18,2.00E-09,2.40122E-09,1.82E-09,1.501237917
0.00026667,1.7424E+18,2.00E-09,2.40547E-09,1.82E-09,1.507150115
0.0002697,1.73555E+18,2.00E-09,2.40974E-09,1.83E-09,1.513099716
0.00027273,1.72873E+18,2.00E-09,2.41401E-09,1.83E-09,1.519065193
0.00027576,1.72195E+18,2.00E-09,2.41828E-09,1.83E-09,1.525046565
0.00027879,1.71521E+18,2.00E-09,2.42256E-09,1.84E-09,1.531043854
0.00028182,1.7085E+18,2.00E-09,2.42684E-09,1.84E-09,1.537057079
0.00028485,1.70182E+18,2.00E-09,2.43112E-09,1.85E-09,1.543086261
0.00028788,1.69518E+18,2.00E-09,2.4354E-09,1.85E-09,1.54913142
0.00029091,1.68857E+18,2.00E-09,2.43968E-09,1.86E-09,1.555192576
0.00029394,1.682E+18,2.00E-09,2.44397E-09,1.86E-09,1.56126975
0.00029697,1.67546E+18,2.00E-09,2.44825E-09,1.86E-09,1.567362961
0.0003,1.66896E+18,2.00E-09,2.45254E-09,1.87E-09,1.573472231
0.00030303,1.66248E+18,2.00E-09,2.45683E-09,1.87E-09,1.579597579
0.00030606,1.65605E+18,2.00E-09,2.46113E-09,1.88E-09,1.585739025
0.00030909,1.64964E+18,2.00E-09,2.46542E-09,1.88E-09,1.59189659
0.00031212,1.64327E+18,2.00E-09,2.46972E-09,1.89E-09,1.598070294
0.00031515,1.63693E+18,2.00E-09,2.47402E-09,1.89E-09,1.604260156
0.00031818,1.63062E+18,2.00E-09,2.47832E-09,1.89E-09,1.610466199
0.00032121,1.62434E+18,2.00E-09,2.48263E-09,1.90E-09,1.61668844
0.00032424,1.6181E+18,2.00E-09,2.48694E-09,1.90E-09,1.622926901
0.00032727,1.61189E+18,2.00E-09,2.49124E-09,1.91E-09,1.629181602
0.0003303,1.60571E+18,2.00E-09,2.49555E-09,1.91E-09,1.635452563
0.00033333,1.59956E+18,2.00E-09,2.49987E-09,1.92E-09,1.641739803
0.00033636,1.59344E+18,2.00E-09,2.50418E-09,1.92E-09,1.648043344
0.00033939,1.58735E+18,2.00E-09,2.5085E-09,1.92E-09,1.654363205
0.00034242,1.5813E+18,2.00E-09,2.51282E-09,1.93E-09,1.660699406
0.00034545,1.57527E+18,2.00E-09,2.51714E-09,1.93E-09,1.667051967
0.00034848,1.56927E+18,2.00E-09,2.52146E-09,1.94E-09,1.673420909
0.00035152,1.56331E+18,2.00E-09,2.52579E-09,1.94E-09,1.679806251
0.00035455,1.55737E+18,2.00E-09,2.53011E-09,1.95E-09,1.686208013
0.00035758,1.55147E+18,2.00E-09,2.53444E-09,1.95E-09,1.692626217
0.00036061,1.54559E+18,2.00E-09,2.53877E-09,1.95E-09,1.69906088
0.00036364,1.53975E+18,2.00E-09,2.54311E-09,1.96E-09,1.705512024
0.00036667,1.53393E+18,2.00E-09,2.54744E-09,1.96E-09,1.711979669
0.0003697,1.52814E+18,2.00E-09,2.55178E-09,1.97E-09,1.718463834
0.00037273,1.52238E+18,2.00E-09,2.55612E-09,1.97E-09,1.72496454
0.00037576,1.51665E+18,2.00E-09,2.56046E-09,1.98E-09,1.731481806
0.00037879,1.51095E+18,2.00E-09,2.5648E-09,1.98E-09,1.738015653
0.00038182,1.50528E+18,2.00E-09,2.56915E-09,1.99E-09,1.744566099
0.00038485,1.49963E+18,2.00E-09,2.5735E-09,1.99E-09,1.751133166
0.00038788,1.49402E+18,2.00E-09,2.57785E-09,1.99E-09,1.757716874
0.00039091,1.48843E+18,2.00E-09,2.5822E-09,2.00E-09,1.764317241
0.00039394,1.48287E+18,2.00E-09,2.58655E-09,2.00E-09,1.770934288
0.00039697,1.47733E+18,2.00E-09,2.59091E-09,2.01E-09,1.777568035
0.0004,1.47182E+18,2.00E-09,2.59526E-09,2.01E-09,1.784218502
0.00040303,1.46635E+18,2.00E-09,2.59962E-09,2.02E-09,1.790885708
0.00040606,1.46089E+18,2.00E-09,2.60399E-09,2.02E-09,1.797569674
0.00040909,1.45547E+18,2.00E-09,2.60835E-09,2.03E-09,1.804270419
0.00041212,1.45007E+18,2.00E-09,2.61271E-09,2.03E-09,1.810987963
0.00041515,1.4447E+18,2.00E-09,2.61708E-09,2.03E-09,1.817722326
0.00041818,1.43935E+18,2.00E-09,2.62145E-09,2.04E-09,1.824473528
0.00042121,1.43403E+18,2.00E-09,2.62582E-09,2.04E-09,1.831241588
0.00042424,1.42874E+18,2.00E-09,2.6302E-09,2.05E-09,1.838026526
0.00042727,1.42347E+18,2.00E-09,2.63457E-09,2.05E-09,1.844828363
0.0004303,1.41823E+18,2.00E-09,2.63895E-09,2.06E-09,1.851647117
0.00043333,1.41301E+18,2.00E-09,2.64333E-09,2.06E-09,1.858482808
0.00043636,1.40782E+18,2.00E-09,2.64771E-09,2.07E-09,1.865335457
0.00043939,1.40265E+18,2.00E-09,2.65209E-09,2.07E-09,1.872205083
0.00044242,1.39751E+18,2.00E-09,2.65648E-09,2.07E-09,1.879091706
0.00044545,1.3924E+18,2.00E-09,2.66087E-09,2.08E-09,1.885995344
0.00044848,1.38731E+18,2.00E-09,2.66526E-09,2.08E-09,1.892916019
0.00045152,1.38224E+18,2.00E-09,2.66965E-09,2.09E-09,1.89985375
0.00045455,1.3772E+18,2.00E-09,2.67404E-09,2.09E-09,1.906808556
0.00045758,1.37218E+18,2.00E-09,2.67844E-09,2.10E-09,1.913780457
0.00046061,1.36719E+18,2.00E-09,2.68283E-09,2.10E-09,1.920769472
0.00046364,1.36222E+18,2.00E-09,2.68723E-09,2.11E-09,1.927775622
0.00046667,1.35728E+18,2.00E-09,2.69163E-09,2.11E-09,1.934798926
0.0004697,1.35236E+18,2.00E-09,2.69604E-09,2.11E-09,1.941839403
0.00047273,1.34746E+18,2.00E-09,2.70044E-09,2.12E-09,1.948897074
0.00047576,1.34258E+18,2.00E-09,2.70485E-09,2.12E-09,1.955971957
0.00047879,1.33773E+18,2.00E-09,2.70926E-09,2.13E-09,1.963064072
0.00048182,1.33291E+18,2.00E-09,2.71367E-09,2.13E-09,1.970173439
0.00048485,1.3281E+18,2.00E-09,2.71808E-09,2.14E-09,1.977300077
0.00048788,1.32332E+18,2.00E-09,2.7225E-09,2.14E-09,1.984444006
0.00049091,1.31856E+18,2.00E-09,2.72691E-09,2.15E-09,1.991605246
0.00049394,1.31383E+18,2.00E-09,2.73133E-09,2.15E-09,1.998783815
0.00049697,1.30911E+18,2.00E-09,2.73575E-09,2.16E-09,2.005979733
0.0005,1.30442E+18,2.00E-09,2.74018E-09,2.16E-09,2.013193021
0.00050303,1.29976E+18,2.00E-09,2.7446E-09,2.16E-09,2.020423697
0.00050606,1.29511E+18,2.00E-09,2.74903E-09,2.17E-09,2.02767178
0.00050909,1.29049E+18,2.00E-09,2.75345E-09,2.17E-09,2.034937291
0.00051212,1.28588E+18,2.00E-09,2.75789E-09,2.18E-09,2.042220248
0.00051515,1.2813E+18,2.00E-09,2.76232E-09,2.18E-09,2.049520672
0.00051818,1.27674E+18,2.00E-09,2.76675E-09,2.19E-09,2.056838581
0.00052121,1.27221E+18,2.00E-09,2.77119E-09,2.19E-09,2.064173994
0.00052424,1.26769E+18,2.00E-09,2.77562E-09,2.20E-09,2.071526932
0.00052727,1.2632E+18,2.00E-09,2.78006E-09,2.20E-09,2.078897414
0.0005303,1.25872E+18,2.00E-09,2.78451E-09,2.21E-09,2.086285458
0.00053333,1.25427E+18,2.00E-09,2.78895E-09,2.21E-09,2.093691085
0.00053636,1.24984E+18,2.00E-09,2.7934E-09,2.21E-09,2.101114314
0.00053939,1.24543E+18,2.00E-09,2.79784E-09,2.22E-09,2.108555163
0.00054242,1.24104E+18,2.00E-09,2.80229E-09,2.22E-09,2.116013653
0.00054545,1.23667E+18,2.00E-09,2.80674E-09,2.23E-09,2.123489803
