t,sigmag_dm
8.79765E-06,1.00155
0.000026393,1.113
0.000167155,1.22446
0.000360704,1.32353
0.000501466,1.39783
0.00071261,1.46594
0.000906158,1.51548
0.00102933,1.56502
0.00117009,1.60836
0.00136364,1.64551
0.00164516,1.72601
0.00197947,1.78793
0.00245455,1.85604
0.00307038,1.93653
0.00363343,1.98607
0.00409091,2.02322
0.00475953,2.05418
0.00546334,2.0418
0.00609677,2.04799
0.00669501,2.06037
0.00717009,2.0418
0.00768035,2.01703
0.00871848,2.01084
0.00965103,1.99845
0.0105132,2.01703
0.0112698,2.02322
0.0119736,2.02322
