t[s],lambda[m],N_agg[mol/kg],N_agg[#/m3],N_pri[mol/kg],N_pri[#/m3],n_p,d_p[nm],d_m[nm],d_g[nm]
0.0,5.644048270006936e-07,3.5452598546844106e-05,2.62605662670946e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0,1.9999369869583437,1.9999369869583437,1.550338749580111
3.1281771649349314e-09,5.644047899090755e-07,3.54522793980749e-05,2.626032986616078e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0000090022073227,1.9999369869583437,1.9999450886696122,1.5503450299764434
1.4992944358120044e-08,5.644046794436544e-07,3.545106895028063e-05,2.625943325925981e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0000431466979351,1.9999369869583437,1.9999758173022926,1.5503688506219322
1.5290581383230316e-08,5.644046766438568e-07,3.545103858609505e-05,2.625941076779966e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0000440032453568,1.9999369869583437,1.9999765881522096,1.5503694481800074
1.534989876067919e-08,5.644046760857207e-07,3.5451032534689396e-05,2.6259406285382415e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0000441739504533,1.9999369869583437,1.999976741778231,1.5503695672699465
1.542057478487359e-08,5.644046754206141e-07,3.545102532450609e-05,2.6259400944631547e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0000443773437753,1.9999369869583437,1.9999769248219958,1.550369709164338
1.7428532344193965e-08,5.644046564904828e-07,3.545082047890315e-05,2.6259249210717783e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0000501559037827,1.9999369869583437,1.999982125226955,1.5503737404860116
2.3378821789994387e-08,5.644046000042028e-07,3.545021345994878e-05,2.6258799577626557e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0000672799022217,1.9999369869583437,1.9999975358423077,1.5503856866994632
3.458931558812572e-08,5.644044919728032e-07,3.544906986627116e-05,2.6257952491128397e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0000995422612289,1.9999369869583437,2.000026569718652,1.5504081935803502
5.468739033561917e-08,5.644042929854498e-07,3.5447019789340645e-05,2.625643395135153e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0001573829770913,1.9999369869583437,2.00007862104526,1.5504485434459376
7.855584038128219e-08,5.644040480915758e-07,3.544458536677963e-05,2.6254630717805727e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0002260762816537,1.9999369869583437,2.0001404365532736,1.550496462444398
1.1101356474293065e-07,5.64403701619754e-07,3.5441275324776244e-05,2.625217889252522e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0003194925116012,1.9999369869583437,2.000224495900585,1.5505616247291356
1.5378433105010886e-07,5.644032257019339e-07,3.543691431292327e-05,2.624894858937536e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0004425959264494,1.9999369869583437,2.0003352622715065,1.5506474901329508
2.0135312043617162e-07,5.644026770886641e-07,3.543206509129321e-05,2.6245356657861745e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0005795161952313,1.9999369869583437,2.000458452008705,1.55074298605326
