,t[s],P[kPa],T[K],density[kg/m3],mean_MW[kg/mol],gas_mass[kg],H_gas[J],W_work[J],N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,soot_mass[ug/g],volume_fraction,SSA[m2/g],total_carbon_mass_per_kggas[kg/kg],carbon_yield,total_hydrogen_mass_kggas[kg/kg],total_carbon_mass[kg],total_hydrogen_mass[kg],inception_mass[mol/kg-s],coagulation_mass[mol/kg-s],PAH_adsorption_mass[mol/kg-s],surface_growth_mass[mol/kg-s],H_soot[J]
0,0.0,470147.9999999999,2355.0,0.9018347921716457,0.037559300000000004,0.901834792171646,1122498.4537028589,0.0,1.506721511036224e-22,1.660539165145645e-24,4.729536422783325e-12,3.321078330291316e-23,1.3013242704476079e-17,8.182968510966669e-05,9.018348513700229e-07,0.09073689085848895,0.0010000000656421528,1.9999828078693989,866.1305844507439,671.4190577137551,866.1305844507439,1.0,5.6806461974083996e-08,2.8461135460224746e-17,2.2908032382676685e-07,0.031978764247526804,1.776380773639302e-12,0.010735024348164103,0.0288395622090744,0.009681218451984133,0.0,-2.7151110346147062e-33,0.0,0.0,1.900061294749835e-07
1,1.2626857615562514e-10,470147.99999999994,2354.994460435211,0.9018366003926354,0.037559286958858955,0.901834792171646,1122498.4537028584,0.0,1.660539165145645e-24,1.660539165145645e-24,4.678562569644647e-20,3.321078330291316e-23,1.3013242704476079e-17,9.018366595911314e-07,9.018366595911314e-07,0.0010000000656421528,0.0010000000656421528,1.9999828078693989,1.9999828078693989,1.5503742696662017,1.9999828078693989,1.0,5.619756267095879e-16,2.815612159418308e-25,23.156240388341484,0.03197876424746999,1.7572353512174207e-20,0.010735024348164113,0.02883956220902316,0.009681218451984143,6.403107278425049e-175,-1.3867194642904503e-39,4.302326138433436e-106,6.405581188601632e-41,1.8796888198239824e-15
2,1.1639596372926507e-08,470148.0,2354.4909617655567,0.9020009551722915,0.037558100280506164,0.901834792171646,1122498.453702858,0.0,1.660539165145645e-24,1.660539165145645e-24,4.678562569644647e-20,3.321078330291316e-23,1.3013242704476079e-17,9.020010143815761e-07,9.020010143815761e-07,0.0010000000656421528,0.0010000000656421528,1.9999828078693989,1.9999828078693989,1.5503742696662017,1.9999828078693989,1.0,5.619756267095879e-16,2.816125289308864e-25,23.156240388341484,0.03197876424746998,1.7572353512174207e-20,0.0107350243481641,0.028839562209023152,0.009681218451984129,4.2220022582712144e-157,-1.3868217097135371e-39,3.627844842603329e-97,2.967398550840992e-31,1.879141263241084e-15
3,3.4885492937555586e-08,470148.0,2353.4827481621883,0.9023301551942869,0.037555719147978166,0.901834792171646,1122498.4537028577,0.0,1.660539165145645e-24,1.660539165145645e-24,4.678562569644647e-20,3.3210783302913205e-23,1.3013242704476079e-17,9.023302144251809e-07,9.023302144251809e-07,0.0010000000656421528,0.0010000000656421528,1.9999828078693989,1.9999828078693989,1.5503742696662017,1.9999828078693989,1.0,5.619756267095879e-16,2.817153080357051e-25,23.156240388341484,0.03197876424746998,1.7572353512174207e-20,0.010735024348164098,0.028839562209023152,0.009681218451984127,1.8989706472195687e-117,-1.387026378364496e-39,2.3432243624531274e-77,1.044914316018054e-28,1.87804487466148e-15
4,6.6192061076407e-08,470148.0,2352.1397179157825,0.902769017062999,0.03755254309890301,0.901834792171646,1122498.453702858,0.0,1.660539165145645e-24,1.660539165145645e-24,4.678562569644648e-20,3.321078330291759e-23,1.3013242704476079e-17,9.027690763227007e-07,9.027690763227007e-07,0.0010000000656421528,0.0010000000656421528,1.9999828078693989,1.9999828078693989,1.5503742696662017,1.9999828078693989,1.0,5.61975626709588e-16,2.818523245210987e-25,23.15624038834148,0.03197876424746998,1.757235351217421e-20,0.010735024348164101,0.028839562209023152,0.00968121845198413,4.364752119705261e-102,-1.3872990927189665e-39,1.1235078804540114e-69,3.5147974247854305e-27,1.876584485519961e-15
5,1.0936584867811403e-07,470147.9999999999,2350.311913521542,0.9033670039565621,0.03754821688147848,0.901834792171646,1122498.4537028589,0.0,1.660539165145645e-24,1.660539165145645e-24,4.678562569644713e-20,3.3210783303026024e-23,1.3013242704476085e-17,9.033670632555171e-07,9.033670632555171e-07,0.0010000000656421528,0.0010000000656421528,1.9999828078693989,1.9999828078693989,1.5503742696662017,1.9999828078693989,1.0,5.61975626709596e-16,2.820390212206995e-25,23.156240388341164,0.03197876424747,1.7572353512174456e-20,0.010735024348164073,0.028839562209023173,0.009681218451984107,6.800038781505809e-90,-1.3876705307657015e-39,1.4025186567288182e-63,5.23816151588109e-26,1.874597140976336e-15
6,1.6980050394336203e-07,470147.99999999994,2347.7962469543913,0.9041913152899604,0.037542252599922096,0.901834792171646,1122498.4537028589,0.0,1.660539165145645e-24,1.660539165145645e-24,4.6785625696457075e-20,3.3210783304662294e-23,1.3013242704476174e-17,9.041913746430249e-07,9.041913746430249e-07,0.0010000000656421528,0.0010000000656421528,1.9999828078693989,1.9999828078693989,1.5503742696662017,1.9999828078693989,1.0,5.619756267097171e-16,2.822963783753105e-25,23.156240388336336,0.03197876424747,1.7572353512178188e-20,0.010735024348164077,0.028839562209023173,0.00968121845198411,2.376704361142334e-79,-1.388182187107467e-39,2.622518155538509e-58,5.030538027152145e-25,1.871862234103472e-15
7,2.8279618606981346e-07,470147.9999999999,2343.211509882505,0.9056967321105408,0.03753132394839219,0.901834792171646,1122498.4537028598,0.0,1.6605391651458178e-24,1.6605391651456595e-24,4.678562575474391e-20,3.321078334607304e-23,1.3013242705172723e-17,9.056967915625183e-07,9.05696791562432e-07,0.0010000000656422568,0.0010000000656421614,1.999982807920943,1.9999828079396087,1.5503742697206284,1.9999828079396087,1.0,5.61975627409842e-16,2.827663829282582e-25,23.15624036072711,0.031978764247470017,1.7572353534070318e-20,0.010735024348164085,0.028839562209023183,0.009681218451984117,2.012600872817696e-67,-1.3891148901100909e-39,2.4140807840985887e-52,8.851706982253173e-24,1.866878954684364e-15
8,5.67959600203319e-07,470147.9999999999,2332.1736188703385,0.9093290968038515,0.0375043426957869,0.901834792171646,1122498.4537028598,0.0,1.660539165145645e-24,1.660539165145645e-24,4.678562574007698e-20,3.3210789150598885e-23,1.3013243117419498e-17,9.093291564941711e-07,9.093291564941711e-07,0.0010000000656421528,0.0010000000656421528,1.9999828385055876,1.9999828385055731,1.5503742934151732,1.9999828385055707,1.0,5.619756272395285e-16,2.839004386352769e-25,23.156241101311885,0.03197876424747001,1.7572353528561523e-20,0.010735024348164089,0.02883956220902318,0.00968121845198412,9.007476638272596e-52,-1.391348395897837e-39,1.6162712395641107e-44,5.434306683215639e-22,1.8548869559685636e-15
9,9.66619819878259e-07,470147.9999999999,2317.5117893913593,0.9141402701007801,0.03746574607067762,0.901834792171646,1122498.4537043828,0.0,1.6605391651864032e-24,1.660539165253672e-24,4.6785663368928337e-20,3.3210949048579325e-23,1.3013264959321992e-17,9.14140330129353e-07,9.14140330166385e-07,0.0010000000656666978,0.0010000000657072081,1.9999838598896584,1.999983854649849,1.5503750811239159,1.9999838535282897,1.0000000000405103,5.619760793608392e-16,2.8540275832060834e-25,23.15626133788927,0.031978764247470017,1.7572367661694686e-20,0.01073502434816409,0.028839562209023183,0.009681218451984122,1.6509852613349026e-40,-1.3942416317617852e-39,6.926656177159406e-39,8.222069818971296e-21,1.8389711389168945e-15
